[START] Pre-training step:
>> Epoch 315 finished 	RBM Reconstruction error 0.394017
>> Epoch 316 finished 	RBM Reconstruction error 0.428658
>> Epoch 317 finished 	RBM Reconstruction error 0.392602
>> Epoch 318 finished 	RBM Reconstruction error 0.410660
>> Epoch 319 finished 	RBM Reconstruction error 0.382669
>> Epoch 320 finished 	RBM Reconstruction error 0.401568
>> Epoch 321 finished 	RBM Reconstruction error 0.398747
>> Epoch 322 finished 	RBM Reconstruction error 0.398154
>> Epoch 323 finished 	RBM Reconstruction error 0.391456
>> Epoch 324 finished 	RBM Reconstruction error 0.385614
>> Epoch 325 finished 	RBM Reconstruction error 0.406541
>> Epoch 326 finished 	RBM Reconstruction error 0.395581
>> Epoch 327 finished 	RBM Reconstruction error 0.391678
>> Epoch 328 finished 	RBM Reconstruction error 0.390702
>> Epoch 329 finished 	RBM Reconstruction error 0.388354
>> Epoch 330 finished 	RBM Reconstruction error 0.381685
>> Epoch 331 finished 	RBM Reconstruction error 0.381627
>> Epoch 332 finished 	RBM Reconstruction error 0.398262
>> Epoch 333 finished 	RBM Reconstruction error 0.409441
>> Epoch 334 finished 	RBM Reconstruction error 0.394983
>> Epoch 335 finished 	RBM Reconstruction error 0.412387
>> Epoch 336 finished 	RBM Reconstruction error 0.403080
>> Epoch 337 finished 	RBM Reconstruction error 0.389581
>> Epoch 338 finished 	RBM Reconstruction error 0.393066
>> Epoch 339 finished 	RBM Reconstruction error 0.387208
>> Epoch 340 finished 	RBM Reconstruction error 0.405268
>> Epoch 341 finished 	RBM Reconstruction error 0.393248
>> Epoch 342 finished 	RBM Reconstruction error 0.387871
>> Epoch 343 finished 	RBM Reconstruction error 0.388793
>> Epoch 344 finished 	RBM Reconstruction error 0.387198
>> Epoch 345 finished 	RBM Reconstruction error 0.408620
>> Epoch 346 finished 	RBM Reconstruction error 0.383795
>> Epoch 347 finished 	RBM Reconstruction error 0.386301
>> Epoch 348 finished 	RBM Reconstruction error 0.393470
>> Epoch 349 finished 	RBM Reconstruction error 0.395743
>> Epoch 350 finished 	RBM Reconstruction error 0.383265
>> Epoch 351 finished 	RBM Reconstruction error 0.398561
>> Epoch 352 finished 	RBM Reconstruction error 0.391982
>> Epoch 353 finished 	RBM Reconstruction error 0.387397
>> Epoch 354 finished 	RBM Reconstruction error 0.393884
>> Epoch 355 finished 	RBM Reconstruction error 0.391808
>> Epoch 356 finished 	RBM Reconstruction error 0.402796
>> Epoch 357 finished 	RBM Reconstruction error 0.398235
>> Epoch 358 finished 	RBM Reconstruction error 0.386223
>> Epoch 359 finished 	RBM Reconstruction error 0.377109
>> Epoch 360 finished 	RBM Reconstruction error 0.385765
>> Epoch 361 finished 	RBM Reconstruction error 0.385185
>> Epoch 362 finished 	RBM Reconstruction error 0.400173
>> Epoch 363 finished 	RBM Reconstruction error 0.396132
>> Epoch 364 finished 	RBM Reconstruction error 0.408909
>> Epoch 365 finished 	RBM Reconstruction error 0.394501
>> Epoch 366 finished 	RBM Reconstruction error 0.389833
>> Epoch 367 finished 	RBM Reconstruction error 0.385834
>> Epoch 368 finished 	RBM Reconstruction error 0.390295
>> Epoch 369 finished 	RBM Reconstruction error 0.395472
>> Epoch 370 finished 	RBM Reconstruction error 0.381488
>> Epoch 371 finished 	RBM Reconstruction error 0.395124
>> Epoch 372 finished 	RBM Reconstruction error 0.384006
>> Epoch 373 finished 	RBM Reconstruction error 0.397679
